station_name,id,station_id,latitude,longitude,capacity
Morgan St & Polk St,TA1307000130,a3a8711c-a135-11e9-9cda-0a87ae2ba916,41.871737,-87.65103,19
Ashland Ave & Archer Ave,15442,a3ac83bc-a135-11e9-9cda-0a87ae2ba916,41.83920868403,-87.6656098589,15
Harper Ave & 59th St,KA1503000070,a3ad8aa3-a135-11e9-9cda-0a87ae2ba916,41.78794281287,-87.5883151702,15
Cicero Ave & Lake St,16903,a3b10f66-a135-11e9-9cda-0a87ae2ba916,41.886841,-87.745261,11
Lavergne Ave & Diversey Ave,24332,1970390432459950744,41.93128,-87.75141,15
Leavitt St & Archer Ave,KA1503000068,a3a39301-a135-11e9-9cda-0a87ae2ba916,41.82879201994,-87.6806044594,15
Eckhart Park,13289,a3a4f993-a135-11e9-9cda-0a87ae2ba916,41.89637337,-87.66098386,19
Torrence Ave & 126th Pl,20217,8fd03909-317e-4b6c-b8e9-f4c28b4c90b1,41.66631200825726,-87.55721569061278,15
Central Park Ave & 66th St,24144,1934290793283144612,41.773258,-87.713143,15
Larrabee St & North Ave,TA1306000008,a3a3eb9a-a135-11e9-9cda-0a87ae2ba916,41.91021,-87.6435,19
Shore Dr & 55th St,TA1308000009,a3a88f84-a135-11e9-9cda-0a87ae2ba916,41.795212,-87.580715,19
Western Ave & Leland Ave,TA1307000140,a3a866a5-a135-11e9-9cda-0a87ae2ba916,41.966399801840986,-87.68870428204536,19
Noble St & Milwaukee Ave,13290,a3a3f5e9-a135-11e9-9cda-0a87ae2ba916,41.9007,-87.662607,15
Halsted St & 18th St,13099,a3a7af11-a135-11e9-9cda-0a87ae2ba916,41.85750568031716,-87.64599144458771,15
Western Ave & 81st St,24130,1934290608103817582,41.746426,-87.683123,15
Central St & Girard Ave,E007,a3b300d3-a135-11e9-9cda-0a87ae2ba916,42.064313,-87.686152,15
Chicago State University,20106,9e5ce0b6-198f-48fa-9363-64ab5ec2b222,41.71896342165455,-87.60829567909241,23
